osm_name,operator_ref,lat,lon,nbs_booth,booth_node_id
Orléans Nord,14,47.9495887,1.8546514,2,"[26209874, 26210037]"
Artenay,13,48.0841897,1.8557181,2,"[26228454, 26228469]"
Montmarault,11,46.3276582,2.9663511,2,"[26265393, 239563333]"
Vierzon Nord,5,47.2438063,2.0644035,2,"[26265822, 482593907]"
Cavaillon,25,43.8199281,5.0278555,2,"[26404247, 26404271]"
Péage de Lançon,Péage de Lançon,43.5937043,5.1747436,2,"[26410395, 26410440]"
Montaigu,4,46.9594945,-1.3530450,8,"[26589771, 275329462, 4003307027, 4003307028, 4003307029, 4003307031, 4003307032, 4404266838]"
Montmélian,3031,45.4949937,6.0575949,2,"[27086904, 411797121]"
Voiron,3086,45.3475490,5.5664029,2,"[27174404, 27174434]"
Crolles-Brignoud,3022,45.2717910,5.9006900,2,"[27297173, 27297216]"
Péage de Dijon Sud,Péage de Dijon Sud,47.2612255,5.0333664,3,"[27509156, 27509158, 31415199]"
Alençon Nord,18,48.4530431,0.1240957,2,"[28025816, 5617171486]"
Selles-sur-Cher,13,47.3246739,1.5001828,2,"[28099229, 28121110]"
Péage de Saint-Germain-les-Vergnes,Péage de Saint-Germain-les-Vergnes,45.2839317,1.6171681,2,"[28126039, 28126040]"
Péage de Veauchette,Péage de Veauchette,45.5606870,4.2418185,2,"[28126748, 28126751]"
Mansac-Terrasson,18,45.1525541,1.3782132,2,"[28195303, 28195335]"
Avallon,22,47.5093282,3.9920680,2,"[28868612, 28868623]"
Péage de Pouilly-en-Auxois,Péage de Pouilly-en-Auxois,47.2524848,4.5611717,2,"[28868663, 58805387]"
Ury,14,48.3386340,2.5954312,2,"[28870546, 28870547]"
Péage de Schwindratzheim,Péage de Schwindratzheim,48.7696868,7.6020109,2,"[29761117, 29761118]"
Péage de Loupershouse,,49.0754120,6.8966260,2,"[29763066, 29763067]"
Péage de Quetteville,Péage de Quetteville,49.3220443,0.3079899,5,"[30438237, 1592237878, 1592237881, 12132026571, 12132026580]"
Eloise,11,46.0651600,5.8639647,2,"[30781582, 410245598]"
Péage de Beaumont,Péage de Beaumont,49.1990129,5.9242368,2,"[30801937, 150873766]"
Châlons en Champagne-La Veuve,24,49.0428396,4.3217468,4,"[30813498, 1871925918, 3149727734, 3149752422]"
Aix Nord,3010,45.7161491,5.9221560,6,"[30904133, 4423736545, 7190727963, 7190727964, 7190727965, 7190727966]"
Saverne,44,48.7617872,7.3901158,2,"[30923142, 8554613606]"
Péage de Fresnes,Péage de Fresnes,50.3251351,2.9114529,2,"[31004566, 270684525]"
Bonneville Ouest,16,46.0732530,6.3825455,2,"[31052799, 61956517]"
Arras Est,15,50.2693557,2.8639145,2,"[32213712, 1269194826]"
Péage de Dury,Péage de Dury,49.8536130,2.2493820,2,"[32425386, 241054650]"
Péage d'Haudricourt,12,49.7595881,1.7027622,2,"[32628291, 270376590]"
L'isle-sur-le-Doubs,6,47.4125179,6.5856079,2,"[32699885, 32699891]"
Bourges,7,47.0448918,2.3417968,2,"[33148650, 2095595179]"
Péage de Thun l'Évêque,Péage de Thun l'Évêque,50.2293528,3.2720022,2,"[34562273, 34562274]"
Montbrison-Montrond,7,45.6373059,4.1960802,2,"[34720192, 36129702]"
Le Touvet,3023,45.3474721,5.9636052,2,"[35340135, 298941861]"
Val-de-Loing-Souppes,17,48.1763227,2.7668025,2,"[35665218, 35665220]"
Péage de Fleury-en-Bière,Péage de Fleury-en-Bière,48.4266295,2.5401807,3,"[35675144, 1801078049, 1883772392]"
Perpignan Sud,42,42.6667471,2.8590489,2,"[35926132, 35926646]"
Toulouse Nord Ouest,Toulouse Nord Ouest,43.6580892,1.4271185,2,"[36129805, 253943275]"
Saint-Selve,Saint-Selve,44.6591839,-0.4540608,2,"[36130695, 36133303]"
Aiguebelette,3007,45.5768820,5.7992485,2,"[36675385, 267138475]"
Bourgoin,3004,45.5822626,5.3002391,2,"[36713429, 261946952]"
Péage du Perthus,Péage du Perthus,42.5277363,2.8214730,2,"[36967326, 36967365]"
Myennes,Myennes,47.4373764,2.9406583,2,"[48837113, 48842745]"
Péage de La Gravelle,Péage de La Gravelle,48.0828379,-1.0276084,2,"[49362760, 49362776]"
Ancenis,20,47.4008121,-1.1943108,7,"[50698281, 331944036, 1157608675, 2463694844, 2463694870, 6279355554, 6279355555]"
Gannat,Gannat,46.0980771,3.1356526,2,"[50771124, 429833002]"
Amiens Ouest,19,49.8918216,2.2383655,2,"[54774589, 9063255096]"
Péage de Tours centre Saint-Christophe,Péage de Tours centre Saint-Christophe,47.6382202,0.4967952,2,"[55149606, 55394714]"
Auvours,23,48.0046451,0.3124879,2,"[55440641, 275169751]"
Le Mans Ouest,8,48.0217292,0.1273963,5,"[57018993, 264386251, 8458461696, 8458461699, 8458461702]"
Parigné-l’Évêque,24,47.9556467,0.3202046,2,"[57345005, 60941644]"
Le-Mans-ZI-Nord,7,48.0503760,0.1739762,7,"[57565041, 244893345, 8525739242, 8525739243, 8525739244, 8525739245, 8525739246]"
Nuits-Saint-Georges,1,47.1309722,4.9672925,2,"[57760493, 279441849]"
Romorantin,14,47.3245608,1.7656674,2,"[58917023, 1902659897]"
Péage de Gignac,Péage de Gignac,44.9907475,1.5265818,2,"[60078772, 378374878]"
Péage de Montauban Nord,Péage de Montauban Nord,44.0524498,1.4101071,4,"[60079493, 272877809, 9083206948, 9083206949]"
Puget-sur-Argens,37,43.4569484,6.6895438,2,"[60178994, 60179013]"
Fréjus,38,43.4704413,6.7362855,4,"[60180044, 60180233, 259977190, 259977198]"
Hermillon,052,45.2989217,6.3552921,2,"[60305316, 82502276]"
Chignin Bretelle,3027,45.5112648,6.0045729,2,"[60314514, 4423761565]"
Chignin Les Marches,3025,45.5090272,6.0062545,2,"[60314536, 429600582]"
Tours nord,19,47.4523514,0.7393106,2,"[60944604, 303085665]"
Péage de Muret,Péage de Muret,43.5054620,1.3520299,2,"[61101216, 61101218]"
Esvres,10,47.3071705,0.7960772,1,[61275307]
Chambray,23,47.3491372,0.7036606,4,"[61669918, 254011685, 353171282, 726458210]"
Le Mans Sud,9,47.9737203,0.0575183,2,"[73963126, 7181036266]"
Broglie-Orbec,15,49.0344273,0.4432192,2,"[81055576, 1042834566]"
Noirétable,31,45.8493579,3.7942361,1,[82222593]
Pont-d'Ain,9,46.0481257,5.3278855,1,[84428307]
Tours centre sorigny,Tours centre sorigny,47.2184644,0.6576566,3,"[85698610, 726432887, 8274123701]"
Blois,17,47.6215008,1.3464557,2,"[95914543, 3722209738]"
La Côte Picarde,24,50.2544211,1.7467016,2,"[97729391, 2847657921]"
Joué-en-Charnie,1,48.0043802,-0.2173331,2,"[98322556, 98322557]"
Péage de Scionzier,18,46.0683173,6.5537188,2,"[99046298, 6437936721]"
Epretot,Epretot,49.5517655,0.3353443,2,"[99454381, 719474972]"
Sète,33,43.4775255,3.6851276,2,"[100086450, 100087287]"
Bourgueil,5,47.2532013,0.1665910,2,"[101480497, 297326241]"
Péage de Restigné,Péage de Restigné,47.2702961,0.2538241,2,"[101497372, 101497519]"
Lunel,27,43.7027498,4.1197187,2,"[102968315, 102968801]"
Gallargues,26,43.7229495,4.1810614,2,"[103579675, 103585422]"
Nîmes Ouest,25,43.8137306,4.3429068,2,"[104513274, 104513419]"
Nîmes Est,24,43.8560961,4.4205760,2,"[104534425, 3230734317]"
Méru,13,49.2105566,2.1504432,2,"[122212229, 288926127]"
Auberives Nord-Sud,11.1,45.3898018,4.8053591,1,[130221205]
Chatillon-La Borde,16,48.5422046,2.7975037,2,"[131854822, 261058618]"
Joigny,18,47.9383172,3.2440930,4,"[140090191, 247389529, 1430770870, 1825795624]"
Toulouse Nord Est,Toulouse Nord Est,43.6581766,1.4273380,2,"[146207158, 146207162]"
Sainte-Marie-aux-Chênes,32,49.1939622,5.9895963,2,"[150591312, 150605254]"
Genay,Genay,45.9003691,4.8193610,2,"[173269453, 173269485]"
Agde-Pézenas,34,43.3740078,3.4178920,2,"[179459179, 335854857]"
Saint-Amand-Montrond,8,46.7220021,2.4583168,1,[190755700]
Luigny,4,48.2345952,1.0331397,1,[197118807]
Péage de Bersaillin,Péage de Bersaillin,46.8492838,5.5745067,2,"[207278408, 664688045]"
Mâcon Nord,28,46.3659660,4.8393236,2,"[211276424, 258934071]"
Tournus,27,46.5790969,4.9011715,2,"[211475830, 258942957]"
Fontaine Larivière,Fontaine Larivière,47.6759680,6.9817416,2,"[215113118, 215113122]"
Bléré,11,47.2864836,0.9844652,2,"[228863617, 2105191531]"
Replonges,3,46.3007801,4.8957548,2,"[228876004, 1597432903]"
Verdun,31,49.1109692,5.4138552,1,[230233305]
Porte de Chevilly-Larue,,48.7632862,2.3458629,1,[241536033]
Dordives,Dordives,48.1724553,2.7661741,2,"[242800246, 242800358]"
Aire-sur-la-Lys,4,50.6682431,2.2561597,2,"[242826082, 8951761695]"
Saint-Quentin-Fal. Bretelle,3002,45.6485100,5.1201314,2,"[243072571, 302229238]"
Mont-Choisy,18,48.9107120,4.2881712,2,"[243198059, 1575767382]"
Langres Nord,7,47.9351554,5.2867691,2,"[243763172, 1054674013]"
Beaune Sud,24.1,47.0024231,4.8547961,3,"[245806764, 289537452, 5741047101]"
Sénas,26,43.7420819,5.0898154,2,"[246011442, 246213575]"
Allaines,12,48.2053090,1.8459556,2,"[247189294, 303811524]"
Val-de-Loing Barrière,17,48.1763308,2.7668822,2,"[247393077, 247393080]"
Le Tourneau,Le Tourneau,47.9929422,2.6775813,2,"[247393144, 247393204]"
Monaco,56,43.7450527,7.3726415,2,"[247692673, 247692786]"
Villeneuve-Loubet-Cagnes Ouest,ESCOTA,43.6480402,7.1390694,1,[247858828]
Nailloux,1,43.3824192,1.6168325,2,"[247949075, 247949087]"
Fécamp,8,49.6324469,0.6400228,2,"[248706668, 938388636]"
Péage du Roumois,Péage du Roumois,49.3539593,0.8350875,2,"[248868492, 248869003]"
Le Muy,36,43.4607624,6.5509390,2,"[249132733, 259977064]"
Labastide-Murat,56,44.6981278,1.5805783,1,[249181379]
Vivy-Saumur,3,47.3105710,-0.0317123,7,"[249798721, 482956516, 12880598967, 12880598968, 12880598969, 12880598970, 12880598971]"
Orléans Centre,1,47.8982384,1.8531879,3,"[250286697, 393454821, 11101216886]"
Monts-sorigny,24.1,47.2544968,0.6709183,2,"[252013420, 1503669865]"
La Ciotat,9,43.2036472,5.5926289,4,"[252927026, 252927030, 252927227, 252927397]"
Auriol,Auriol,43.3669635,5.6439767,2,"[252948832, 252949501]"
Agen,7,44.1650334,0.6056288,2,"[253945696, 1450618855]"
Saintes,35,45.7523174,-0.6639451,2,"[253948577, 253948654]"
Sainte-Hermine,7,46.5335213,-1.0791804,7,"[253951327, 279217617, 4001244528, 4001244529, 4001244530, 4001244531, 4001244532]"
Chartres-Thivars,3,48.3634354,1.4443260,4,"[254662308, 1375532385, 1375532386, 1560431421]"
Saint-Jean-de-Luz Sud,2,43.3719502,-1.6763524,2,"[255022590, 1690642278]"
Canet de Meyreuil,32,43.4946731,5.5250476,2,"[255120171, 255120346]"
Péage de Pamiers,Péage de Pamiers,43.1541446,1.6158718,2,"[255871598, 762433556]"
Villefranche Nord,31.1,46.0223536,4.7220235,2,"[256748954, 290195298]"
Mussidan Sud,13,45.0107553,0.3774855,2,"[257152241, 504607734]"
Saint-Genix-sur-Guiers,3061,45.5727704,5.6591386,1,[257784733]
Sarreguemines,41,49.0448224,7.0287816,2,"[259003448, 1041328348]"
