name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
NUITS SAINT GEORGES;Nuits-Saint-Georges;1;47.1309722;4.9672925;2;[57760493, 279441849];;;
OLIVET;Olivet;2;47.8408587;1.8693513;2;[300994716, 314081185];;;
ORBEC;Bolbec;7;49.5814117;0.4430307;2;[984859296, 984859299];;;
ORLEANS CENTRE;Orléans Centre;1;47.8982384;1.8531879;3;[250286697, 393454821, 11101216886];;;
ORLEANS NORD;Orléans Nord;14;47.9495887;1.8546514;2;[26209874, 26210037];;;
ORMES;Sames;Sames;43.5297063;-1.1868429;2;[630216, 2341285897];;;
PARIGNE L EVEQUE;Parigné-l’Évêque;24;47.9556467;0.3202046;2;[57345005, 60941644];;;
PARIS LA FOLIE BESSIN;;;;;;;;;
PEROUGES;Pérouges;7;45.8607917;5.1812783;2;[1374640112, 1374640131];;;
POITIERS NORD;Poitiers Nord;29;46.6215062;0.3437828;1;[282069502];;;
POITIERS SUD;Poitiers Sud;30;46.5489824;0.2892931;2;[459173225, 3634658165];;;
PONS;Pons;36;45.5744618;-0.5956219;2;[332272132, 431442217];;;
PONT D AIN;Pont-d'Ain;9;46.0481257;5.3278855;1;[84428307];;;
POUILLY EN AUXOIS;;;;;;;;;
REIMS TAISSY;;;;;;;;;
REIMS TINQUEUX;;;;;;;;;
REPLONGES;Replonges;3;46.3007801;4.8957548;2;[228876004, 1597432903];;;
RESTIGNE;;;;;;;;;
RIOM;Riom;13;45.8955545;3.1481729;2;[6306677688, 6306677694];;;
ROBECOURT;Robecourt;8.1;48.1460604;5.6874369;4;[613525527, 613525538, 659768198, 659768209];;;
ROMORANTIN;Romorantin;14;47.3245608;1.7656674;2;[58917023, 1902659897];;;
ROUMOIS;;;;;;;;;
SABLE LA FLECHE;Sablé-La-Flèche;10;47.7755032;-0.2086032;2;[340097997, 1716982137];;;
SAINT AIGNAN SUR CHER;Saint-Aignan-sur-Cher;12;47.3065782;1.3531066;2;[1405976152, 1405976248];;;
SAINT AMAND;;;;;;;;;
SAINT AUBIN DE BLAYE;Saint-Aubin-de-Blaye;38;45.2543461;-0.5478033;1;[665051348];;;
SAINT DENIS LES SENS;Saint-Denis-lès-Sens;1;48.2369888;3.262201;8;[332248643, 924440768, 6134878380, 6134878383, 6134878384, 6134879085, 6134879086, 6134879090];;;
SAINT ETIENNE AU TEMPLE;Saint-Etienne-au-Temple;28;49.0334402;4.4358734;2;[1575874810, 1575874813];;;
SAINT GENIS;Saint-Genis;4;46.2722265;5.0158394;2;[987093311, 987094003];;;
SAINT GERMAIN LAXIS;Saint-Germain-Laxis;15;48.5880155;2.7247238;2;[690686570, 1477388127];;;
SAINT GIBRIEN;Saint-Gibrien;17;48.9735998;4.2886495;2;[264756447, 1042719181];;;
SAINT HILAIRE LES ANDRESIS;Saint-Hilaire-les-Andrésis;4;48.0368366;3.0225587;2;[1264038008, 1810705536];;;
SAINT JEAN D ANGELY;Saint-Jean-d'Angély;34;45.9628699;-0.5458975;1;[309937348];;;
SAINT JEAN DE LINIERES;Saint-Jean_de_Linières;18;47.4665473;-0.6860373;2;[1465598768, 1465598784];;;
SAINT MAIXENT LUSIGNAN;;;;;;;;;
SAINT MARTIN DU FRESNE;Saint-Martin-du-Fresne;8;46.1324281;5.5415206;1;[410246295];;;
SAINT MAURICE;;;;;;;;;
SAINT THIBAULT;Saint-Thibault;21;48.2233891;4.1297359;2;[3089029407, 3089029424];;;
SAINTE MAURE;Sainte-Maure;25;47.1072866;0.5876617;1;[894516551];;;
SAINTE MENEHOULD;Sainte Menehould;29;49.0763749;4.8837392;2;[21528882, 310301329];;;
SAINTES;Saintes;35;45.7523174;-0.6639451;2;[253948577, 253948654];;;
SALBRIS;Salbris;4;47.4185485;2.025665;2;[578797805, 578799574];;;
SAUMUR VIVY;;;;;;;;;
SAVIGNY SUR CLAIRIS;Savigny-sur-Clairis;3;48.0559454;3.0880896;2;[1820927791, 1820927832];;;
SEES;Sées;17;48.6352041;0.1871255;5;[270111794, 270111802, 1260038730, 2508032317, 4357543559];;;
SEICHES;;;;;;;;;
SELLES SUR CHER;Selles-sur-Cher;13;47.3246739;1.5001828;2;[28099229, 28121110];;;
SEURRE;Seurre;1;47.0293728;5.1702888;2;[1034029729, 1034029730];;;
SILLE LE GUILLAUME MAMERS;;;;;;;;;
SILLE LE GUILLAUME SABLE;;;;;;;;;
SOIRANS;Soirans;5;47.2053403;5.3050035;1;[609200151];;;
SOMMESOUS;Sommesous;20;48.7298276;4.2292654;2;[865277253, 865277258];;;
ST GERMAIN LES VERGNES;;;;;;;;;
ST JULIEN SANCY;;;;;;;;;
STE HERMINE;;;;;;;;;
SYLANS;Sylans;9;46.1585737;5.6483351;2;[292356937, 292356996];;;
THENNELIERES;Thennelières;23;48.289342;4.1629475;2;[502976800, 1049830277];;;
TIL CHATEL;Til-Châtel;5;47.5387434;5.1947119;2;[839038429, 6017249052];;;
TORVILLIERS;Torvilliers;20;48.2844446;3.965953;2;[4189960633, 4189960634];;;
TOURNUS;Tournus;27;46.5790969;4.9011715;2;[211475830, 258942957];;;
TOURS CENTRE;;;;;;;;;
TOURS CENTRE CANDE;Tours centre-cande;Tours centre-cande;47.3036812;0.6883244;2;[6168514563, 6168514564];;;
TOURS CENTRE MONNAIE;;;;;;;;;
TOURS CENTRE SAINT CHRISTOPHE;;;;;;;;;
TOURS CENTRE SORIGNY;Tours centre sorigny;Tours centre sorigny;47.2184644;0.6576566;3;[85698610, 726432887, 8274123701];;;
TOURS NORD;Tours nord;19;47.4523514;0.7393106;2;[60944604, 303085665];;;
TULLE EST;Tulle Est;21;45.3181188;1.8503589;2;[3922204754, 3922204755];;;
TULLE NORD;Tulle Nord;20;45.3290189;1.7639661;1;[1125653080];;;
URY;Ury;14;48.338634;2.5954312;2;[28870546, 28870547];;;
USSEL EST;Ussel Est;24;45.5889363;2.4145518;2;[944248712, 944248772];;;
USSEL OUEST;Ussel Ouest;23;45.5124063;2.2588909;2;[705563120, 4422912952];;;
VAL DE SAONE;;;;;;;;;
VALLEE DE L AUBE;Vallée-de-l'Aube;21;48.5254684;4.1855778;2;[1695359055, 1695359059];;;
VATRY;Vatry;19;48.7676355;4.2399554;2;[1344207311, 1344207363];;;
VEIGNE;;;;;;;;;
VERDUN;Verdun;31;49.1109692;5.4138552;1;[230233305];;;
VIEILLEVILLE;Vieilleville;22;47.2913532;-1.4803645;2;[357302937, 448420478];;;
VIERZON EST;Vierzon Est;6;47.2118385;2.1184157;2;[303191561, 369043557];;;
VIERZON NORD;Vierzon Nord;5;47.2438063;2.0644035;2;[26265822, 482593907];;;
VILLE SOUS LA FERTE;Ville-sous-la-Ferté;23;48.1149682;4.7855547;1;[511062430];;;
VILLEFRANCHE LIMAS;;;;;;;;;
VILLEFRANCHE NORD;Villefranche Nord;31.1;46.0223536;4.7220235;2;[256748954, 290195298];;;
VILLEFRANCHE VILLE;Villefranche Ville;31.2;45.9768763;4.7347339;5;[7623043929, 7623043930, 7623043933, 7623043934, 12463829779];;;
VILLENEUVE DONDAGRE;Villeneuve-Dondagre;2;48.1496404;3.1713746;2;[3296768915, 3296768950];;;
VIRIAT;Viriat;6;46.2357293;5.2734836;2;[1330238093, 1330238094];;;
VIRSAC;Viriat;6;46.2357293;5.2734836;2;[1330238093, 1330238094];;;
VIRY;Vinay;3094;45.1994862;5.419409;2;[21032382, 25452344];;;
VITRE LA GRAVELLE;;;;;;;;;
VOIE SACREE;Voie-Sacrée;30;49.0938355;5.2784389;2;[1575874816, 5636803321];;;
VOUILLE;Vouillé;32;46.3074932;-0.3663971;2;[672506884, 801745089];;;
VULAINES;Vulaines;19;48.2377942;3.6012971;2;[331203148, 828930660];;;
VULCANIA BROMONT;Vulcania-Bromont;26;45.8339019;2.822617;1;[4255789073];;;
