name;osm_name;operator_ref;lat;lon;nbs_booth;booth_node_id;booth_way_id;type;operator_osm
MONT CHOISY;Mont-Choisy;18;48.9107120;4.2881712;2;[243198059, 1575767382];;close;APRR
MONTIGNY LE ROI;Montigny-le-Roi;8;47.9973720;5.5118949;2;[586530226, 1054665949];;close;APRR
PEAGE DE MONTLUCON;Montluçon;Montluçon;46.3964311;2.7112613;2;[4330970608, 4330970609];;close;APRR
MONTMARAULT;Montmarault;11;46.3276582;2.9663511;2;[26265393, 239563333];;close;APRR
MONTREUIL REIMS;Montreuil-aux-Lions;19;49.0132565;3.1552689;4;[4390079353, 4390079354, 4390079355, 4390079356];;close;APRR
PEAGE DE MONTREUIL AUX LIONS;Péage de Montreuil-aux-Lions;19;49.0096803;3.1456152;3;[635884768, 635884770, 5702872138];;close;APRR
MYENNES;Myennes;Myennes;47.4373764;2.9406583;2;[48837113, 48842745];;open;APRR
NEMOURS;Nemours;16;48.2695319;2.7133800;2;[649150142, 649587072];;close;APRR
NITRY;Nitry;21;47.6591113;3.8795829;2;[828809344, 1098856873];;close;APRR
NUITS ST GEORGES;Nuits-Saint-Georges;1;47.1309722;4.9672925;2;[57760493, 279441849];;close;APRR
OLIVET;Olivet;2;47.8408587;1.8693513;2;[300994716, 314081185];;close;APRR
ORLEANS CENTRE;Orléans Centre;1;47.8982384;1.8531879;3;[250286697, 393454821, 11101216886];;close;APRR
ORLEANS NORD;Orléans Nord;14;47.9495887;1.8546514;2;[26209874, 26210037];;close;APRR
PEROUGES;Pérouges;7;45.8607917;5.1812783;2;[1374640112, 1374640131];;close;APRR
PONT D AIN;Pont-d'Ain;9;46.0481257;5.3278855;1;[84428307];;close;APRR
PEAGE DE POUILLY EN AUXOIS;Péage de Pouilly-en-Auxois;Péage de Pouilly-en-Auxois;47.2524848;4.5611717;2;[28868663, 58805387];;close;APRR
QUINCIEUX BARRIERE;Quincieux Barrière;Quincieux Barrière;45.9079069;4.7382319;2;[3635137012, 3635145303];;open;APRR
PEAGE DE REIMS EST;Péage de Reims Est;Péage de Reims Est;49.2115374;4.0785028;2;[23217938, 23217941];;close;APRR
PEAGE REIMS NORD;Péage de Reims Nord ;Péage de Reims Nord ;49.2462360;3.9622758;2;[1520347089, 1520347114];;close;APRR
REIMS OUEST;Péage de Reims Ouest;22;49.2496005;3.9558387;2;[1433077455, 1520347094];;close;APRR
REIMS SUD;Péage de Reims Sud;23;49.2051715;4.0065175;2;[1927899111, 1927899628];;close;APRR
REPLONGES;Replonges;3;46.3007801;4.8957548;2;[228876004, 1597432903];;close;APRR
RIOM;Riom;13;45.8955545;3.1481729;2;[6306677688, 6306677694];;close;APRR
ROBECOURT;Robecourt;8.1;48.1460604;5.6874369;4;[613525527, 613525538, 659768198, 659768209];;close;APRR
ST GENIS;Saint-Genis;4;46.2722265;5.0158394;2;[987093311, 987094003];;close;APRR
PEAGE DE ST MAURICE;Péage de Saint-Maurice;Péage de Saint-Maurice;47.4253686;6.6711249;2;[13835106, 36304281];;close;APRR
ST THIBAULT;Saint-Thibault;21;48.2233891;4.1297359;2;[3089029407, 3089029424];;close;APRR
SALBRIS;Salbris;4;47.4185485;2.0256650;2;[578797805, 578799574];;close;APRR
SAVIGNY SUR CLAIRIS;Savigny-sur-Clairis;3;48.0559454;3.0880896;2;[1820927791, 1820927832];;close;APRR
SEURRE;Seurre;1;47.0293728;5.1702888;2;[1034029729, 1034029730];;close;APRR
SOIRANS;Soirans;5;47.2053403;5.3050035;1;[609200151];;close;APRR
SOMMESOUS;Sommesous;20;48.7298276;4.2292654;2;[865277253, 865277258];;close;APRR
ST AMAND MONTROND;Saint-Amand-Montrond;8;46.7220021;2.4583168;1;[190755700];;close;APRR
ST ETIENNE AU TEMPLE;Saint-Etienne-au-Temple;28;49.0334402;4.4358734;2;[1575874810, 1575874813];;close;APRR
PEAGE DE ST GERMAIN LES VERGNES;Péage de Saint-Germain-les-Vergnes;Péage de Saint-Germain-les-Vergnes;45.2839317;1.6171681;2;[28126039, 28126040];;close;APRR
ST GIBRIEN;Saint-Gibrien;17;48.9735998;4.2886495;2;[264756447, 1042719181];;close;APRR
ST HILAIRE LES ANDRESIS;Saint-Hilaire-les-Andrésis;4;48.0368366;3.0225587;2;[1264038008, 1810705536];;close;APRR
ST JULIEN SANCY;Saint-Julien-Sancy;25;45.6663047;2.6824524;2;[288149616, 444805506];;close;APRR
